regime,avg_spread,std_spread,mae,r2,n_hours,top_driver,top_driver_importance
Gas Price: high_gas,-0.3649429657794685,23.492339873366006,25.364246537993036,-0.9924212414676048,263,residual_load_diff,0.39087179827316265
Gas Price: low_gas,-20.833470725995316,44.219005474505316,18.955273158309367,0.15306275833594463,4270,residual_load_diff,0.42078354262461515
DE Wind: high_wind,-5.552555341674688,25.759840635516937,14.56534951509492,0.2851162857260955,2078,ttf_close,0.48024576266616936
DE Wind: low_wind,-31.57502647657841,51.28870828738644,24.175922249496914,-0.00832637969392569,2455,ttf_close,0.3395361900505807
FR Nuclear: high_nuclear,-20.371660925196853,45.17988050867807,20.11594257806442,0.11887824572696593,4064,residual_load_diff,0.42555245695214117
FR Nuclear: low_nuclear,-13.357078891257995,24.52450770993585,13.853989764778794,0.37285329370288944,469,ttf_close,0.4440104007549932
Peak/Off-Peak: peak,-20.946780626780626,52.4971872142216,24.126583762214594,0.045187137019593204,2457,ttf_close,0.41702772923916703
Peak/Off-Peak: off_peak,-18.106290944123316,29.599318947230678,16.067027756988242,0.28194080286503687,2076,ttf_close,0.35562948290616697
