Date,Close,High,Low,Open,Volume
2022-01-03,80.43399810791016,80.43399810791016,80.43399810791016,80.43399810791016,0
2022-01-04,88.74099731445312,96.625,85.0,85.0,306
2022-01-05,91.52200317382812,95.69999694824219,88.38500213623047,95.69999694824219,138
2022-01-06,96.50199890136719,97.0199966430664,93.30000305175781,95.26499938964844,74
2022-01-07,88.17400360107422,96.2699966430664,86.58000183105469,95.80000305175781,30
2022-01-10,84.60700225830078,90.4000015258789,84.45999908447266,86.5,74
2022-01-11,78.73600006103516,82.05000305175781,78.73600006103516,81.2249984741211,36
2022-01-12,75.15299987792969,82.25,73.4000015258789,82.25,87
2022-01-13,85.45999908447266,85.9800033569336,72.0,72.0,136
2022-01-14,86.97000122070312,91.80000305175781,85.69999694824219,89.0,120
2022-01-18,78.33399963378906,84.5999984741211,74.88999938964844,83.2750015258789,129
2022-01-19,75.60199737548828,76.5,71.41999816894531,73.94999694824219,47
2022-01-20,75.2030029296875,75.58999633789062,71.0,71.0,51
2022-01-21,78.9800033569336,81.81500244140625,74.76499938964844,74.76499938964844,50
2022-01-24,93.0,93.5999984741211,88.6050033569336,88.6050033569336,66
2022-01-25,93.58200073242188,95.51000213623047,92.38500213623047,92.38500213623047,49
2022-01-26,91.83699798583984,92.44499969482422,89.3949966430664,89.3949966430664,65
2022-01-27,92.3010025024414,92.9000015258789,90.30999755859375,92.25,327
2022-01-28,92.06199645996094,92.06199645996094,92.06199645996094,92.06199645996094,47
2022-01-31,84.6719970703125,84.8499984741211,84.6719970703125,84.8499984741211,1
2022-02-01,76.16699981689453,78.37999725341797,74.80000305175781,78.30000305175781,480
2022-02-02,77.35099792480469,79.0999984741211,76.29000091552734,77.1500015258789,379
2022-02-03,80.2229995727539,80.2229995727539,77.01000213623047,79.5999984741211,334
2022-02-04,82.6520004272461,82.6520004272461,81.47000122070312,81.47000122070312,101
2022-02-07,79.59500122070312,79.73999786376953,77.8499984741211,78.80000305175781,68
2022-02-08,77.30000305175781,82.0,75.4800033569336,81.4800033569336,321
2022-02-09,74.41699981689453,76.69499969482422,73.83499908447266,76.69499969482422,70
2022-02-10,74.35299682617188,74.68000030517578,72.47000122070312,74.02999877929688,154
2022-02-11,77.4260025024414,77.4260025024414,73.30500030517578,73.41500091552734,167
2022-02-14,80.77100372314453,83.5999984741211,79.69499969482422,83.5999984741211,302
2022-02-15,70.91899871826172,76.16999816894531,68.51499938964844,76.05999755859375,126
2022-02-16,69.79499816894531,71.0,68.97000122070312,69.09500122070312,104
2022-02-17,74.91400146484375,75.1500015258789,71.33999633789062,73.3499984741211,53
2022-02-18,73.76200103759766,73.9000015258789,70.56999969482422,72.9749984741211,46
2022-02-22,79.78900146484375,80.34500122070312,71.5250015258789,71.5250015258789,370
2022-02-23,88.89099884033203,88.89099884033203,83.17500305175781,83.17500305175781,42
2022-02-24,134.3159942626953,135.0,106.0999984741211,106.0999984741211,2
2022-02-25,94.4219970703125,94.4219970703125,94.4219970703125,94.4219970703125,1
2022-02-28,98.59500122070312,116.48999786376953,98.59500122070312,116.48999786376953,30
2022-03-01,121.67400360107422,121.67400360107422,103.66500091552734,103.66500091552734,429
2022-03-02,165.54299926757812,165.54299926757812,165.54299926757812,165.54299926757812,2
2022-03-03,160.822998046875,160.822998046875,147.49000549316406,148.0,14
2022-03-04,192.5500030517578,192.5500030517578,192.5500030517578,192.5500030517578,15
2022-03-07,227.2010040283203,227.2010040283203,227.2010040283203,227.2010040283203,11
2022-03-08,214.5540008544922,214.5540008544922,214.5540008544922,214.5540008544922,0
2022-03-09,155.8800048828125,155.8800048828125,155.8800048828125,155.8800048828125,0
2022-03-10,126.39900207519531,126.39900207519531,126.39900207519531,126.39900207519531,0
2022-03-11,131.22900390625,131.22900390625,131.22900390625,131.22900390625,0
2022-03-14,114.52200317382812,114.52200317382812,114.52200317382812,114.52200317382812,1
2022-03-15,115.43900299072266,121.69000244140625,115.43900299072266,121.69000244140625,1
2022-03-16,102.62300109863281,102.62300109863281,102.62300109863281,102.62300109863281,0
2022-03-17,105.08799743652344,110.5,105.08799743652344,110.5,22
2022-03-18,105.04399871826172,105.04399871826172,105.04399871826172,105.04399871826172,14
2022-03-21,96.302001953125,98.72000122070312,96.302001953125,98.72000122070312,5
2022-03-22,98.74700164794922,98.74700164794922,96.30000305175781,96.30000305175781,6
2022-03-23,117.0009994506836,117.0009994506836,117.0009994506836,117.0009994506836,0
2022-03-24,111.60800170898438,116.0,111.60800170898438,116.0,34
2022-03-25,101.26899719238281,101.26899719238281,101.26899719238281,101.26899719238281,36
2022-03-28,102.54499816894531,102.54499816894531,97.5999984741211,97.5999984741211,3
2022-03-29,108.38099670410156,108.38099670410156,108.38099670410156,108.38099670410156,380
