,de_price,fr_price,flow_fr_to_de,flow_de_to_fr,fr_nuclear,fr_solar_forecast,fr_wind_forecast,fr_load,de_load,de_wind,de_solar,temp_paris,temp_berlin,ttf_close,ttf_change
2022-01-05 06:00:00+00:00,101.15,215.98,0.0,1527.3165,45250.0,0.0,6481.32,67950.0,65546.78,37308.8775,0.0,1.6,3.0,91.52200317382812,2.781005859375
2022-01-05 07:00:00+00:00,129.56,211.13,0.0,1590.9775,45751.0,0.0,6265.66,72200.0,69486.24,38684.75,278.6675,1.3,2.4,91.52200317382812,2.781005859375
2022-01-05 08:00:00+00:00,113.37,226.52,0.0,1713.352,45891.0,251.96,6049.95,72750.0,70920.3425,39615.335,1838.3925,1.5,2.5,91.52200317382812,2.781005859375
2022-01-05 09:00:00+00:00,94.43,224.45,0.0,1823.9085,45968.0,1530.14,5834.0,72800.0,71985.85250000001,40136.7,3929.675,2.7,2.8,91.52200317382812,2.781005859375
2022-01-05 10:00:00+00:00,98.1,202.8,0.0,1609.4335,45956.0,3000.42,5914.73,72600.0,73395.0575,40490.77250000001,5551.795,4.2,3.4,91.52200317382812,2.781005859375
2022-01-05 11:00:00+00:00,95.68,205.0,0.0,1300.163,45946.0,3853.02,5994.67,72650.0,73558.20999999999,40688.205,5880.02,5.4,3.8,91.52200317382812,2.781005859375
2022-01-05 12:00:00+00:00,96.8,197.34,0.0,1073.665,46109.0,4055.98,6074.91,72500.0,72584.7225,40674.76,5033.5625,5.3,3.8,91.52200317382812,2.781005859375
2022-01-05 13:00:00+00:00,107.32,195.6,0.0,1339.7565,46067.0,3639.99,5656.94,70850.0,71349.3,40248.3075,3447.295,5.7,4.5,91.52200317382812,2.781005859375
2022-01-05 14:00:00+00:00,119.48,200.0,0.0,1381.168,46099.0,2521.59,5239.47,68250.0,70229.9325,39610.4625,1414.135,5.9,4.2,91.52200317382812,2.781005859375
2022-01-05 15:00:00+00:00,137.28,206.07,0.0,1622.5995,46172.0,1013.9,4823.09,67450.0,70495.5,38822.0575,148.4475,5.7,3.7,91.52200317382812,2.781005859375
2022-01-05 16:00:00+00:00,148.09,242.1,0.0,2047.626,46518.0,69.42,4770.87,69750.0,72173.765,37857.0125,0.0,4.8,3.7,91.52200317382812,2.781005859375
2022-01-05 17:00:00+00:00,139.88,265.0,0.0,2507.5925,46663.0,0.0,4718.7,74550.0,71724.3825,36715.9025,0.0,3.7,3.8,91.52200317382812,2.781005859375
2022-01-05 18:00:00+00:00,135.75,265.0,0.0,2367.721,46655.0,0.0,4666.11,76400.0,69782.495,35234.2575,0.0,2.5,4.0,91.52200317382812,2.781005859375
2022-01-05 19:00:00+00:00,119.93,241.93,0.0,2185.363,46650.0,0.0,4706.75,72800.0,66192.0725,33615.7025,0.0,1.8,3.5,91.52200317382812,2.781005859375
2022-01-05 20:00:00+00:00,98.09,218.95,0.0,1766.445,46676.0,0.0,4747.75,68500.0,63690.715,32110.260000000002,0.0,1.4,3.5,91.52200317382812,2.781005859375
2022-01-05 21:00:00+00:00,118.71,207.46,0.0,2124.0825,46685.0,0.0,4788.03,66550.0,61780.36,30181.7725,0.0,1.2,3.7,91.52200317382812,2.781005859375
2022-01-05 22:00:00+00:00,99.68,200.0,0.0,2584.699,46758.0,0.0,4670.15,69350.0,58225.05,28749.3625,0.0,0.9,3.6,91.52200317382812,2.781005859375
2022-01-05 23:00:00+00:00,99.85,207.15,0.0,2737.606,46357.0,0.0,3969.18,66700.0,52995.2875,27601.6825,0.0,0.5,2.9,91.52200317382812,2.781005859375
2022-01-06 00:00:00+00:00,101.32,204.22,0.0,3179.9415,45966.0,0.0,3912.77,64400.0,51007.042499999996,26472.245000000003,0.0,0.8,2.3,96.5019989013672,4.979995727539077
2022-01-06 01:00:00+00:00,110.01,191.82,0.0,3523.7745,45960.0,0.0,3564.29,63850.0,50014.8225,24939.0675,0.0,0.2,2.2,96.5019989013672,4.979995727539077
2022-01-06 02:00:00+00:00,111.55,180.7,0.0,3113.9505,46044.0,0.0,3215.86,61550.0,50136.8675,23214.42,0.0,-0.2,2.0,96.5019989013672,4.979995727539077
2022-01-06 03:00:00+00:00,123.37,170.1,0.0,3221.603,46426.0,0.0,2869.17,60550.0,50847.8775,21319.3375,0.0,-0.2,1.1,96.5019989013672,4.979995727539077
2022-01-06 04:00:00+00:00,149.94,194.38,0.0,3375.764,46810.0,0.0,2656.72,62350.0,52573.2525,19162.145,0.0,0.2,0.6,96.5019989013672,4.979995727539077
2022-01-06 05:00:00+00:00,185.92,204.22,0.0,2960.267,46881.0,0.0,2443.93,67600.0,56858.8875,17258.7325,0.0,0.3,-0.3,96.5019989013672,4.979995727539077
2022-01-06 06:00:00+00:00,228.25,228.25,0.0,3734.362,46899.0,0.0,2231.77,74800.0,61127.9075,15409.7625,0.0,-0.2,-1.1,96.5019989013672,4.979995727539077
2022-01-06 07:00:00+00:00,228.92,240.98,0.0,4109.815,47091.0,0.0,2153.61,78400.0,63892.415,13571.1925,363.4625,-1.0,-1.6,96.5019989013672,4.979995727539077
2022-01-06 08:00:00+00:00,212.9,257.44,0.0,3773.236,47196.0,277.16,2078.12,78900.0,65078.97,11731.675,3192.9275,-2.2,-1.4,96.5019989013672,4.979995727539077
